,Category,Headline,SubHeading,isResult,isMaybe
67,Vinter-OL,Danmark centimeter fra forløsning: - Det er typisk,"Rusland afgjorde kvartfinalen, umiddelbart efter at Frans Nielsen havde en kæmpechance for at udligne",True,
68,Amerikansk fodbold ,Stjerne udgår med skrækskade,Nick Chubb er en af NFL's bedste runningbacks ,False,
69,Ishockey VM,Danskers uheld har to gange givet point mod Schweiz,"To ud af syv gange har Danmark fået point mod Schweiz ved store turneringer ? og der er én ting, der går igen i de opgør",False,
70,Ishockey,Herning vinder topopgør og stryger alene i spidsen,Hernings Blue Fox slog Aalborg Pirates og er alene i spidsen for Metal Ligaen i ishockey,True,
71,Ishockey VM,VM hænger i tynd tråd,Eftervirkninger fra en skade ved OL kan koste dansk målmaskine VM i Finland,False,
72,Fodbold ,Harder ude i flere uger,Pernille Harder har pådraget sig en skade i højre knæ og må betragtes som tvivlsom til de kommende landskampe ,False,
73,Baseball ,Nye coronatilfælde sætter sæson på pause for Miami-hold,"Baseballklubben Miami Marlins har fået udsat flere kampe, da den nu er ramt af 17 coronasmittede ",False,
74,Baseball ,Græske baseballspillere positive,To græsk-amerikanske baseballspillere er blevet testet positive for doping. Det meddeler den græske olympiske komité mandag ,False,
75,Fodbold ,Nye fiaskoer: Engelsk fodbold risikerer historisk degradering,De har indgået suverænt de største tv-aftaler og de bruger flere penge end nogen andre ligaer i verden ,False,
76,TOUR DE FRANCE ,"Levende legende, der også er et godt menneske og en rar person, sejrer igen","Marianne Vos styrkede førerpositionen i Tour de France med sin anden etapesejr, men nu tårner tinderne sig truende op ",True,
77,TENNIS,Tennislegende hjælper Holger Rune på træningsbanen,"Da Lars Christensen har været i Danmark, har Boris Becker hjulpet Holger Rune på træningsbanen ",False,
78,TENNIS ,Av min arm: Djokovic vandt trods skade ,"Novak Djokovic havde problemer med venstre arm, men slog alligevel Gilles Simon sikkert ",True,x
79,Formel 1,Kørere kastede op og var ved at dehydrere: Nu skal de beskyttes bedre,Kørere blev dårlige ved lørdagens løb i Qatars varme ørken. FIA vil se på anbefalinger ,False,
80,CHAMPIONS LEAGUE ,Overlegne Aalborg kører nordmakedonsk hold over ,Aalborg Håndbold slog onsdag aften nordmakedonske Eurofarm Pelister i Champions Leauge ,True,
81,FORMEL 1 ,Kevin Magnussen starter som nummer 16 i Miami,Kevin Magnussen sluttede som nummer 16 i kvalifikationen til søndagens Formel 1-grandprix i Miami ,True,
82,BASKETBALL ,Svensk stjernespiller smidt på porten efter forbudt russisk affære: 'Ingen forstår ham' ,"Basketballspilleren Jonas Jerebko er blevet suspenderet fra det svenske landshold, efter han har underskrevet en kontrakt med den russiske storklub CSKA Moskva. En trist dag for sporten, siger svensk journalist ",False,
83,VINTERSPORT ,"Efter anfald, koma og seks måneders hovedpine er OL-håb atter tilbage i støvlerne ","Speedskateren Philip Due Schmidt er tilbage på konkurrenceniveau, efter han for næsten seks måneder siden fik et voldsomt krampeanfald ",False,
84,FODBOLD ,FC Nordsjællands ydmygelse af bulgarske mestre får store konsekvenser,Hele den sportslige ledelse i Ludogorets har sagt op efter 1-7-nederlaget torsdag til FC Nordsjælland ,True,
85,OL,Springsteens datter skubber dansker ud af OL-finale,Danske Andreas Schou kommer ikke i OL-finalen i ridebanespringning. En musikstjernes datter kom i vejen ,True,
86,CYKLING ,Dideriksen røg i brædderne - Engelsk VM-guld i scratch ,"Elinor Barker vandt overraskende VM-guld i scratch, hvor Amalie Dideriksen styrtede til sidst ",True,
87,Ishockey,Herning og Aalborg er i pokalfinalen,"Mathias Bau Hansen blev dobbelt målscorer, da Herning Blue Fox kvalificerede sig til pokalfinalen. Aalborg vandt den anden semifinale",True,
88,Ishockey,Bjorkstrand og Ehlers brillerer i NHL,Oliver Bjorkstrand scorede og førte Columbus Blue Jackets til sejr i NHL. Nikolaj Ehlers nettede også,True,
89,Curling ,Danmark fortsætter god stime ved VM,Med en sejr på 6-4 over Sydkorea rykker Danmarks curlingkvinder tættere på knockoutkampene ved VM i Canada ,True,
90,Amerikansk fodbold ,Tidlig kandidat til årets mærkeligste spil: - Det var helt vildt,"Man skal huske at spille, indtil dommerens fløjte lyder ",False,
91,GOLF ,"Med skruer i kroppen slår 47-årige Tiger Woods ud for at vinde, men kan han stadig det? ",I dag indleder Tiger Woods og resten af golftoppen PGA-tuneringen Genesis Invitational ,False,
92,Atletik ,Atletikchef dømmer dansk stjerne færdig på landsholdet,"Tirsdag indrømmede den danske løber Abdi Ulad, at han har indtaget et stof, der er på Anti Doping Danmarks dopingliste",False,
93,HERRELANDSHOLDET ,Kraul godkender plænen i Dublin: Den er som et billardklæde ,"Banen i Parken var en katastrofe, lød det fra landsholdet efter 0-0 mod Irland. DR Sportens udsendte, Andreas Kraul, inspicerer plænen i Dublin før VM-returgyseren ",True,
94,Atletik ,Overvejer comeback til russiske atleter,"Russiske atleter, der er modstander af krigen, kan måske snart komme tilbage i varmen, siger Thomas Bach",False,
95,CYKLING ,"De danske kaptajner drømmer om medaljer, men forventer kaos og det vilde vesten ","Cecilie Uttrup Ludwig, Emma Norsgaard og Amalie Dideriksen skal forsøge at vinde den første danske VM-medalje siden 2017 ",False,
96,FORMEL 1 ,Magnussen udgår i sæsonens første grandprix ,"Den danske Formel 1-stjerne lå lige uden for pointene, da hans løb lige pludselig sluttede. Bottas vandt ",True,
97,ISHOCKEY ,Danmark holder liv i håbet om VM-avancement efter smal sejr i skæbnekamp,Efter en vigtig 1-0-sejr over Ungarn er Danmarks ishockeykvinder tæt på undgå nedrykning ,True,
98,Ishockey,Føler sig snydt for sejren - har nu nedlagt protest,"Rungsted mener, at dommerne begik en fejl i straffeslagskonkurrencen mod Odense. En afgørelse på protesten vil blive truffet snart, oplyser ligaen",True,
99,Ishockey,Det taknemmelige papir knuste de danske drømme: - Det gør ondt,"Det smerter stadig, at et stærkt dansk hold missede OL i Minsk for fem år siden. Nu skal de glemme miseren i jagten på ishockeyhistorien",False,
100,Golf ,Koerstz Madsen skriver dansk golfhistorie,Med en eagle på andet omspilshul sikrede danske Nanna Koerstz Madsen sig sejren i den prestigefyldte turnering i Thailand,True,
101,Badminton ,Mange danske kampe præger torsdagens program,Der er syv kampe med dansk deltagelse torsdag ,False,
102,Badminton ,Frustreret dansker nægtede at give hånd til dommer på blandet danskerdag,"Mens den danske mixdouble følte sig bortdømt flere gange i tredje sæt, gik flere andre danskere videre ",True,
103,Håndbold ,Elver rammes stadig af katastrofetanker efter skadesmareridt,Landsholdsprofilen har i en alder af bare 25 år været ramt af tre alvorlige korsbåndsskader ,False,
104,KORT SPORT ,VM-nedturen fortsætter for de danske curlingkvinder ,Efter en god start er det hele ved at ramle for det kvindelige danske curlinglandshold ved VM i Sverige ,True,
105,SPORT,Tiger Woods undskylder for tamponspøg,"»Det var bare meningen, at det skulle være for sjov«, siger Woods efter episoden. ",False,
106,BEIJING 2022 ,Finske medaljer er blevet et familieforetagende: Her er OL's vildeste søskendepar,Storesøster Kerrtu og lillebror Iivo Niskanen har hentet fire ud af seks finske medaljer ved vinter-OL i Beijing,True,x
107,Volleyball ,Tredje DM til Marienlyst,Odense-klubben Marienlyst vandt torsdag aften danmarksmesterskabet i volleyball for herrer ved at besejre Aalborg HIK med 3-1 i sæt,True,
108,Håndbold ,Danmarks onde ånd dukker Odense i CL-gruppen,Ulrik Kirkely vandt med Györ opgøret mod sin gamle arbejdsgiver Odense i lørdagens Champions League-opgør ,True,
109,Ishockey,Corona aflyser to kampe i Metal Ligaen,Coronasmitte afholder Herning og Frederikshavn samt Odense og SønderjyskE fra at mødes mandag,False,
110,FODBOLD,Juventus-spiller får syv måneders karantæne for betting,Nicolo Fagioli skal afsone syv måneders karantæne for at have overtrådt bettingregler ,False,
111,Ishockey VM,Sverige kollapsede: - Nu kommer dette klip til at køre igen og igen,"Undervejs i Sveriges 3-4-nederlag til Canada brændte Lucas Wallmark en af de chancer, der bare skal sættes ind, hvis man vil i VM-semifinalen",True,
112,KORT SPORT ,NHL-dansker åbner slutspillet med sejr ,"Det blev en glimrende start på NHL-slutspillet for klubben Carolina Hurricanes, der har den danske ishockeymålmand Frederik Andersen på holdet, da de i nat indledte den endelige jagt på Stanley Cup-trofæet i den nordamerikanske hockeyliga ",True,
113,Ishockey,Aalborg og Herning styrer mod DM-finale,"Herning scorede tre gange på 65 sekunder i 5-4-sejren over Esbjerg, mens Aalborg vandt 3-1 i Herlev",True,
114,ISHOCKEY,USA deler øretæver ud og slår Danmark 7-1,"Kampen ved VM var afgjort allerede efter 1. periode, som amerikanerne vandt 4-0 ",True,
115,Håndbold ,"- Jeg begræder, at der ikke er plads til ham",Nikolaj Jacobsen har udtaget sin trup til Golden League-kampene ,False,
116,Golf ,Dansker imponerer igen,Nanna Koerstz Madsen slutter igen blandt de ti bedste på LPGA-touren. Det er tredje gang i træk,True,
117,Fodbold ,EM-kval: Slovakiet - Portugal,"Hvad skete der? Cristiano Ronaldo spillede landskamp nummer 201, da Portugal gæstede Slovakiet og tog tre point med en 1-0-sejr.",True,
118,VOLLEYBALL ,Volleyherrer misser EM-kvalifikation ,Danmark tabte til Finland og kommer derfor ikke til EM i volleyball til efteråret ,True,
119,Ishockey,Overlegne Golden Knights vinder Stanley Cup,"Vegas Golden Knights vinder sin første Stanley Cup, bare fem år efter at holdet fik første billet til NHL.",True,
120,HERRELANDSHOLDET ,Snublende tæt på ny smutter: Danmark tager tre vigtige point mod Finland ,Det danske landshold vinder 1-0 på udebane over Finland i EM-kvalifikationen ,True,
121,Fodbold ,Stages drømmemål var ikke nok,"Mange troede formentlig, at danskeren havde sikret Werder Bremen 2-2 mod Hoffenheim, der alligevel tog sejren ",True,
122,Ishockey,Midt i jublen fremhæves altmuligmanden igen og igen,"Efter Danmarks kvalifikation til vinter-OL i Beijing nævnte både spillere, landstræneren og TV 2 SPORTs ekspert den samme person",False,
123,Amerikansk fodbold ,Kommentatorer måber: - Det er spektakulært,New Orleans Saints-spilleren Chris Olave havde en afgørende hånd med i sejren på 20-17 over Carolina Panthers ,True,
124,Badminton ,Astrup og Skaarup spiller sig i ny finale,Kim Astrup og Anders Skaarup Rasmussen slog tidligere verdensmestre og er finaleklar i finske Arctic Open ,True,
125,Ishockey,Dansker scorer for fjerde kamp i streg i NHL,"Oliver Bjorkstrand reducerede for Columbus Blue Jackets, da holdet tabte 3-5 i grundspillets sidste kamp",True,
126,FODBOLD ,Finaledrømmen lever i Sønderjyske ,"Trods nederlaget i Parken lever optimismen hos Sønderjyske, hvor man stadig tror på finalechancen ",True,x
127,SPORT,Rubiales trækker sig som fodboldpræsident efter kys,Efter det kontroversielle kys til en spansk VM-spiller har Luis Rubiales valgt at trække sig fra posten ,False,
128,SPORT ,Avis: Uregelmæssigheder i dopingtest ,Ifølge den franske avis Le Monde er der konstateret bemærkelsesværdige blodværdier hos en del Tour de France-ryttere ved dopingkontrollen inden løbet ,False,
129,Ishockey,NHL-dansker er fortrøstningsfuld trods nyt nederlag,Ehlers og Jets-spillerne kunne ikke finde vej til Montreal-målet og er nu bagud med 0-2 i slutspilsserie,True,
130,Ishockey VM,Danmark tæt på VM-exit efter nyt nederlag ,"Danmark fik ellers en regulær drømmestart på opgøret, da Nicklas Jensen scorede efter blot tre minutter. ",True,
131,Boksning ,Kontroversiel bokseboss træder til side i OL-konflikt,"AIBA-præsident lader en anden tage over, mens IOC skal beslutte, om boksning skal være en del af OL i 2020",False,
132,Ishockey VM,- Alle er spændte på at møde Danmarks superstjerne,"Der er en snert af benovelse i den italienske VM-lejr, inden Danmark venter i den tredje kamp ved slutrunden i Finland",False,
133,SPORT,Så er det sidste udkald for at undgå en bundrekord i dansk svømning,"2021 har ikke budt på en eneste individuel dansk rekord, men chancerne er der de kommende seks dage ",False,
134,BEIJING 2022 ,Hvordan klarede danskerne sig til vinter-OL? Eksperterne giver svaret ,"Vinter-OL 2022 er ved vejs ende, men hvordan gik det egentlig det historisk store antal danske atleter ved legene i Beijing? ",True,x
135,SPORT ,OVERBLIK Her er alle prisvinderne ved Sport 2018 ,"13 priser blev lørdag delt ud ved DR's store Sport 2018-show. Se, hvem der vandt ",False,x
136,Ishockey,Her er Danmarks modstandere til OL,Danmark er for første gang repræsenteret i ishockeyturneringen ved OL næste år,False,
137,Atletik ,Stort VM-drama - styrt kort før målstregen,"Sifan Hassan lå til guld, men styrtede kort før målstregen i kvindernes 10.000 meter ved VM ",True,
138,SPORT ,Historisk fægtemedalje til danske Patrick: Drømmer jeg? ,"Det var en glad dansk fægter, der tog telefonen efter historisk VM-medalje i Moskva ",True,
139,Fodbold ,"- Spillet var under lavmålet, siger ekspert",TV 2 Sports fodboldeksperter ser tilbage på en lunken indsats mod Kasakhstan ,False,x
140,TENNIS ,Holger Runes form når nyt lavpunkt efter afklapsning ,Holger Rune taber første runde i ATP 1000-turneringen i Shanghai til amerikanske Brandon Nakashima ,True,
141,Volleyball ,Holtes kvinder endelig mestre,"Holtes damer har været i DM-finalen i de sidste 22 år i træk. Men for første gang i seks år, blev klubben også mestre tirsdag aften efter at have slået Fortuna Odense med 3-2",True,
142,BEIJING 2022 ,For at undgå frosne fingre forkortedes legendarisk OL-disciplin: Beslutningen kaldes en 'fucking joke',Herrernes 50-kilometerløb i langrend blev næsten halveret på grund af vejrforholdene i Beijing,False,
143,SPORT ,Stolt Nicki P: Vi vinder på team spirit ,"Nicki Pedersen mener, at Danmark var den fortjente vinder af hold-VM i speedway og roser ånden på landsholdet ",True,
144,Fodbold ,Belgien vil ikke genoptage afbrudt kamp,"Det belgiske forbund vil presse på for, at mandagens EM-kvalifikationskamp mod Sverige ikke genoptages ",False,
145,UEFA EM 2020 ,"Braithwaite lukkede ballet i dansk målfest: 'Vi er vikinger, og vi er der for at erobre' ",Martin Braithwaite scorede til 4-0 i ottendedelsfinalen ved EM mod Wales ,True,x
146,Curling ,Denise og Madeleine Dupont stopper,"Denise og Madeleine Dupont indstiller deres curlingkarrierer, fordi deres ambitionerne er blevet for store, fortæller de til TV 2 SPORT ",False,
147,CYKLING ,Er Vingegaard og Roglic respektløse? Tidligere ryttere kritiserer angrebet på superhjælper ,Jonas Vingegaard og Jumbo Visma-holdet har trods enorm dominans i Vuelta a España fået kritik ,False,
148,SPORT ,Stor norsk dag ved VM i langrend ,Norge tog guld i både mændenes og kvindernes sprint på førstedagen af VM i langrend. Triumferne stod Astrid Jacobsen og Jens Arne Svartedal for ,True,
149,BADMINTON ,Dansk badmintonstjerne buldrer videre til finale i Sydkorea ,Den danske badmintonspiller Anders Antonsen vandt lørdag formiddag sin semifinale ved Korea Open ,True,
150,Håndbold ,Tre modstandere ser ekstra meget frem til kampen mod Danmark,"Kosovo råder over tre spillere, der kender Danmark bedre end de fleste ",False,
151,KORT SPORT ,Hollandsk storkamp afbrudt: Spiller ramt i hovedet ,"Et kast, med hvad der umiddelbart lignede en lighter, fra tilskuerpladserne afbrød onsdag aften pokalsemifinalen mellem Feyenoord og Ajax små 20 minutter inde i anden halvleg ",False,
152,HÅNDBOLD,Aalborg forlænger finaleserie med sejr over GOG,"Med en sejr på 34-29 over GOG sørgede Aalborg Håndbold for, at DM-finaleserien skal ud i en tredje kamp ",True,
153,Ishockey,"Begræder NHL-beslutning - men ""andre er hårdere ramt""",NHL-spillerne får ikke lov til at rejse med til OL på grund af masseudsættelse af kampe i ligaen,False,
154,KORT SPORT ,Neymar skal opereres efter skrækskade ,"Den brasilianske fodboldstjerne Neymar står foran en lang pause. Han blev skadet i Brasiliens kamp mod Uruguay natten til onsdag dansk tid, og prognosen er ikke opløftende ",False,
155,Håndbold ,Esbjerg og Odense fortsætter flot stime,Det blev onsdag aften til favoritsejre for Team Esbjerg og Odense i den bedste danske håndboldrække ,True,
156,Ishockey VM,Direktør reagerer på landstræners kraftige kritik,"Danmark har syv spillere på kontrakt i den amerikanske hockeyliga NHL, men kun én er på landsholdet",False,
